station_id,zip_code,LocationID,Zone
HB203,07030,,
HB608,07030,,
JC018,07306,,
JC008,07310,,
JC115,07302,,
HB402,07030,,
JC032,07302,,
HB302,07030,,
HB102,07030,,
HB101,07030,,
JC076,07302,,
HB602,07030,,
JC093,07306,,
JC116,07302,,
HB506,07030,,
JC109,07306,,
JC057,07307,,
JC102,07302,,
HB201,07030,,
JC081,07302,,
JC066,07310,,
JC105,07310,,
JC059,07307,,
HB202,07030,,
JC078,07304,,
JC027,07302,,
JC022,07306,,
JC006,07302,,
HB502,07030,,
JC024,07307,,
HB408,07030,,
JC055,07306,,
HB105,07030,,
HB305,07030,,
HB303,07030,,
JC038,07302,,
JC034,07306,,
JC009,07302,,
HB103,07030,,
JC052,07304,,
HB601,07030,,
JC108,07305,,
JC080,07307,,
JC110,07302,,
HB304,07030,,
HB407,07030,,
HB501,07030,,
JC003,07302,,
JC053,07304,,
HB301,07030,,
JC104,07311,,
HB603,07030,,
JC035,07302,,
JC099,07302,,
JC019,07306,,
JC020,07304,,
JC103,07306,,
JC095,07304,,
HB404,07030,,
JC075,07302,,
JC074,07302,,
JC023,07302,,
JC065,07306,,
HB609,07030,,
JC097,07302,,
JC013,07302,,
HB409,07030,,
JC107,07305,,
JC072,07302,,
JC014,07302,,
JC098,07310,,
JC077,07304,,
JC082,07302,,
HB610,07030,,
HB611,07030,,
HB503,07030,,
HB401,07030,,
JC084,07304,,
HB505,07030,,
HB508,07030,,
JC063,07305,,
JC094,07306,,
JC051,07304,,
JC002,07302,,
HB612,07030,,
HB106,07030,,
JC117,07304,,
JC120,07304,,
JC123,07305,,
JC122,07304,,
JC118,07304,,
JC125,07305,,
JC124,07304,,
JC131,07305,,
JC121,07304,,
JC127,07305,,
JC119,07304,,
5184.08,10280,,
6266.06,10011,68.0,East Chelsea
5001.08,10280,,
5470.12,10013,45.0,Chinatown
6233.04,10011,68.0,East Chelsea
6306.01,10011,68.0,East Chelsea
5297.02,10282,,
5247.10,10007,231.0,TriBeCa/Civic Center
6765.01,10018,100.0,Garment District
6626.01,10017,162.0,Midtown East
6398.06,10018,100.0,Garment District
5633.04,11222,,
5653.12,10013,45.0,Chinatown
6432.11,10017,162.0,Midtown East
6474.11,10016,170.0,Murray Hill
6432.15,10017,162.0,Midtown East
6708.04,10036,50.0,Clinton West
6450.12,10001,186.0,Penn Station/Madison Sq West
6551.16,10017,162.0,Midtown East
4962.08,10004,13.0,Battery Park City
6626.11,10036,50.0,Clinton West
5368.03,10282,,
6535.04,10001,186.0,Penn Station/Madison Sq West
6912.01,10019,163.0,Midtown North
5422.04,10013,45.0,Chinatown
5359.11,10013,45.0,Chinatown
5470.10,10013,45.0,Chinatown
5105.01,10005,87.0,Financial District North
6280.12,10016,170.0,Murray Hill
6551.02,10036,50.0,Clinton West
5509.02,10013,45.0,Chinatown
5379.09,11249,,
6425.04,10001,186.0,Penn Station/Madison Sq West
6740.10,10019,163.0,Midtown North
6492.04,10001,186.0,Penn Station/Madison Sq West
5450.01,11249,,
5216.07,10006,88.0,Financial District South
6115.09,10011,68.0,East Chelsea
6030.06,10011,68.0,East Chelsea
6578.01,10001,186.0,Penn Station/Madison Sq West
4953.04,10038,,
6432.09,10168,,
5065.10,10038,,
6795.01,10036,50.0,Clinton West
6732.01,10022,229.0,Sutton Place/Turtle Bay North
6140.05,10011,68.0,East Chelsea
5863.07,10003,79.0,East Village
6459.07,10001,186.0,Penn Station/Madison Sq West
5400.05,10013,45.0,Chinatown
6306.07,10011,68.0,East Chelsea
5096.12,10038,,
5303.08,10002,148.0,Lower East Side
5359.13,10013,45.0,Chinatown
6492.08,10199,,
6611.07,10018,100.0,Garment District
5216.06,10006,88.0,Financial District South
4993.15,10005,87.0,Financial District North
6551.11,10017,162.0,Midtown East
